read_id	most_likely_taxon	confidence	assignment_certainty	taxon_name	kingdom
fbb5f4bb-85ef-4887-87a0-37b576238d35	1218493	0.9995686667631574	high	Lactobacillus kullabergensis	Bacteria
78b2c98e-75a9-4906-b780-3d67e8b48df0	1218494	0.9999968234744724	high	Lactobacillus helsingborgensis	Bacteria
7f6bffc4-d28a-4d1f-a74b-7c1c7bb12743	1218494	0.9999991921068186	high	Lactobacillus helsingborgensis	Bacteria
0a6ef6ae-870a-47aa-ab1e-1f740cb63785	1218494	0.9999968279872906	high	Lactobacillus helsingborgensis	Bacteria
f1d5b60a-7acb-4936-a3cc-f11eee93bb2b	1218494	0.9999997941899323	high	Lactobacillus helsingborgensis	Bacteria
3c1d5f6f-4255-44ab-8dba-a9316e89fc46	1218494	0.9999877863415122	high	Lactobacillus helsingborgensis	Bacteria
c8469532-c27d-40ea-a54c-e3784eb7a532	1218494	0.999999261281362	high	Lactobacillus helsingborgensis	Bacteria
a748c4af-e404-40d6-937e-858d6047cc73	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
77e44316-f237-48bd-b3b2-54aa220212a8	1218493	0.9998955705008477	high	Lactobacillus kullabergensis	Bacteria
ab9949d2-164f-4646-a7dd-4dc701c989fd	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
41a953f2-2a76-4722-b378-44ee1f9992f9	1218494	0.9999991740838045	high	Lactobacillus helsingborgensis	Bacteria
89baf2c6-8217-48b2-a897-8e5afbcf3849	1218494	0.999808196675304	high	Lactobacillus helsingborgensis	Bacteria
5e451a0c-8882-418b-ad35-a7d8054e0e92	1218494	0.9999876303362988	high	Lactobacillus helsingborgensis	Bacteria
9ca82810-690c-42f8-a590-96de840bf269	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
3478203f-9402-4fc5-b8ea-cddc31a8f918	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
b2918741-e569-46ad-b363-fd981fcbf22d	1218494	0.9999968285945016	high	Lactobacillus helsingborgensis	Bacteria
bf7f389e-7a8d-4f3b-99bf-a938def93700	1218493	0.9769913048958556	high	Lactobacillus kullabergensis	Bacteria
4a60b540-375b-4dc0-bbdd-c972fb670b0e	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
4623508a-92fb-49fe-9b2c-ad0e74253c8c	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
9ca9fff5-122e-4dbc-a424-d353a5b3bcdd	1218493	0.999892439635094	high	Lactobacillus kullabergensis	Bacteria
b597b6a2-00cc-4682-a7a5-9823f19bad5f	1218494	0.9564314743845252	high	Lactobacillus helsingborgensis	Bacteria
34a58dd5-35cb-44ae-8514-c178b30597a3	1218493	0.9999726721936434	high	Lactobacillus kullabergensis	Bacteria
536a42b7-201a-46a0-a694-221c72a4bfca	1218493	0.9995763100185484	high	Lactobacillus kullabergensis	Bacteria
8564c27e-b611-4a53-a2ff-ad33f96f0e35	1218494	0.9999997941951572	high	Lactobacillus helsingborgensis	Bacteria
6a0af0bb-260c-419d-9740-82275ba87edf	1218494	0.999951131472092	high	Lactobacillus helsingborgensis	Bacteria
d645d7c2-0ad5-42a1-981b-13ce12cc9d4e	1218493	0.999899313932324	high	Lactobacillus kullabergensis	Bacteria
6fe577d9-5574-42b0-814b-791ca5f9aee8	1218494	0.9999875509010444	high	Lactobacillus helsingborgensis	Bacteria
a5552a3c-7620-44ed-b5db-758f6b611b0e	1218494	0.9999997941938918	high	Lactobacillus helsingborgensis	Bacteria
b99a9539-d8a8-496f-8ed2-ed04991647ef	1218493	0.9995720312991004	high	Lactobacillus kullabergensis	Bacteria
9a50d4a5-5dec-4126-bcad-b2d0073828fe	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
d8775846-9cb5-41f8-873b-6b343065d68e	1218494	0.9999997941952452	high	Lactobacillus helsingborgensis	Bacteria
1ca00940-8d78-4b16-a2d2-5b01bdf53377	1218494	0.9999991921068186	high	Lactobacillus helsingborgensis	Bacteria
120651ce-e7e7-4e05-af33-dfe88b969ebc	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
b069bcd9-35dc-4d29-a190-20d58b9e2e87	1218493	0.9995696384575028	high	Lactobacillus kullabergensis	Bacteria
1433839d-1408-4c6b-aef5-cd5c46b1bdb8	1218494	0.9998081985404984	high	Lactobacillus helsingborgensis	Bacteria
d6897043-a2f0-4911-befa-0df2e97158fd	1218493	0.9999999999058188	high	Lactobacillus kullabergensis	Bacteria
94b9a677-7a3b-4587-b1cf-2f17e5b634ef	1218494	0.999951132712678	high	Lactobacillus helsingborgensis	Bacteria
1762a339-0c5b-4e1d-bc0c-6f052a34ff30	1218494	0.960522053736388	high	Lactobacillus helsingborgensis	Bacteria
7aa88a44-7f5c-45c3-bb4a-05f3c73e5327	1218494	0.9970927133948796	high	Lactobacillus helsingborgensis	Bacteria
423de6c8-7222-4c4e-94fe-b8c21f88010c	1218493	0.9999721841404916	high	Lactobacillus kullabergensis	Bacteria
d8583e11-0f47-4865-b6ff-e4dc0d258f81	1218493	1.0	confident	Lactobacillus kullabergensis	Bacteria
6d3bd610-f035-42a6-af29-e9c8fb2ed6b6	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
acbdad55-2de9-479d-933d-457ee4340ecf	1218493	0.99997213756683	high	Lactobacillus kullabergensis	Bacteria
dea185b4-5848-47c4-9dc9-3cb839778e74	1218494	0.9999997941899323	high	Lactobacillus helsingborgensis	Bacteria
4bbd6620-a5f5-4993-a235-edb81a7fa098	1218494	0.999951131472092	high	Lactobacillus helsingborgensis	Bacteria
5f1169e5-261e-43dc-8e66-f51438abbd04	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
59205db1-a24f-4553-923e-da4e332f0ed5	1218494	0.9999997941899323	high	Lactobacillus helsingborgensis	Bacteria
04988c2f-3581-443a-8e0c-ff6915939c45	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
f7520cf2-fff6-4c0c-be4c-a6c437cb4c68	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
b0767535-c3d8-49ad-920c-a9647d571f0b	1218494	0.9999542104924976	high	Lactobacillus helsingborgensis	Bacteria
1778746c-bd13-4939-827b-ab65691357f3	1218494	0.9999997941938918	high	Lactobacillus helsingborgensis	Bacteria
1c36338d-56d3-45ea-b401-9775087fd7e7	1218494	0.9999999866440492	high	Lactobacillus helsingborgensis	Bacteria
2c1b084c-0c13-4d0e-8b31-99c5e92f1307	1218493	0.9999747355063668	high	Lactobacillus kullabergensis	Bacteria
9431698c-4170-4a20-927c-47abdb930f34	1218494	0.999951132728219	high	Lactobacillus helsingborgensis	Bacteria
26b63f48-9c1c-4316-9f00-a84a4b28b8c1	1218494	0.9999991921068186	high	Lactobacillus helsingborgensis	Bacteria
0413f84a-fb9e-4e0b-85cb-9fcc603ee1d8	1218494	0.9999875496395184	high	Lactobacillus helsingborgensis	Bacteria
7645b4ec-b4d3-486d-9327-9d2c83748d8a	1218493	0.999890625667174	high	Lactobacillus kullabergensis	Bacteria
b59b06d5-60ba-4c8b-befc-28b9d4f16e13	1218494	0.9999875508785396	high	Lactobacillus helsingborgensis	Bacteria
e70de8c4-87e8-4317-b810-9f9b1e77ef08	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
49b127b8-a374-4129-820d-2cba84fbc542	1218493	0.9998932472278717	high	Lactobacillus kullabergensis	Bacteria
7ccca194-d9e5-4c0f-bef7-795e797f5d50	1218494	0.9999997941949004	high	Lactobacillus helsingborgensis	Bacteria
e07aee0a-0578-4dd6-8d2c-cb317bcb0aba	1218494	0.9999968153990042	high	Lactobacillus helsingborgensis	Bacteria
41ab3319-e89a-4e2c-9647-79c7d1fb2562	1218494	0.9999992478219916	high	Lactobacillus helsingborgensis	Bacteria
25da1834-ec98-4967-86fa-531c9ebca8f9	1218493	0.9999999984817356	high	Lactobacillus kullabergensis	Bacteria
eb7b44c0-be69-45dc-933f-ed4db1efc378	1218494	0.9999968286157854	high	Lactobacillus helsingborgensis	Bacteria
a18963d2-de7e-4e00-abbd-b684e0bdaae5	1218494	0.997031757319186	high	Lactobacillus helsingborgensis	Bacteria
39c256d6-f168-4671-b9f3-c15fbe5e4bbf	1218494	0.9999514005403352	high	Lactobacillus helsingborgensis	Bacteria
0195f244-f520-4e6c-b870-558c155fac93	1218493	0.99989134841656	high	Lactobacillus kullabergensis	Bacteria
2c33a4f0-e4b9-4471-9eb4-f57e07473565	1218493	0.9999008313401964	high	Lactobacillus kullabergensis	Bacteria
da77daff-9e66-42ab-9995-277ce8417f5f	1218494	0.9999514008820164	high	Lactobacillus helsingborgensis	Bacteria
5d7f221d-55a8-44f8-8a51-fe53b26d4740	1218494	0.9999991921068186	high	Lactobacillus helsingborgensis	Bacteria
0cc81791-c7df-4862-a896-7ec371bcaa0b	1218494	0.999996828631328	high	Lactobacillus helsingborgensis	Bacteria
54afd6c0-f2a6-448d-b8cb-49b69a2d3538	1218494	0.9998081985406536	high	Lactobacillus helsingborgensis	Bacteria
