tax_id	abundance	species	genus	family	order	class	phylum	superkingdom	source	estimated counts	mean_confidence	confident_reads_percentage
1218494	0.4326099270996697	Lactobacillus helsingborgensis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	2116.760373298684	0.9956926538949058	0.3314447592067989
1218493	0.1561874056797094	Lactobacillus kullabergensis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	764.224975990818	0.9896679788160333	0.039318479685452164
1218508	0.2055997505439681	Lactobacillus mellis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	1005.999579411636	0.9999995819201153	0.9980119284294234
303541	0.0858399900467792	Lactobacillus apis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	420.01507129889103	0.9999999995810355	0.9880952380952381
1196095	0.0559983650112405	Gilliamella apicola	Gilliamella	Orbaceae	Orbales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	274.0	1.0	1.0
1196083	0.0239117106069895	Snodgrassella alvi	Snodgrassella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	EMU	117.0	1.0	1.0
1218492	0.0251379521765787	Lactobacillus mellifer	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	123.0	1.0	1.0
1267021	0.0036787247087676	Frischella perrara	Frischella	Orbaceae	Orbales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	18.0	1.0	1.0
72826	0.0042918454935622	Bartonella_sp.	Bartonella	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	PR2	21.0	1.0	1.0
2478912	0.0067443286327406	Commensalibacter sp. AMU001	Commensalibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	33.0	1.0	1.0
unmapped	0.0									0.0	0.0	0.0
mapped_unclassified	0.0									13.0	0.0	0.0
