"","NEWs","Control","Tetracycline","Terra-Pro","ASx lysate","Hive Reared","Comb"
"NEWs",0,0.65,0.666666666666667,0.657142857142857,0.708333333333333,0.653846153846154,0.722222222222222
"Control",0.65,0,0.470588235294118,0.382352941176471,0.372093023255814,0.612903225806452,0.5
"Tetracycline",0.666666666666667,0.470588235294118,0,0.269230769230769,0.536585365853658,0.428571428571429,0.580645161290323
"Terra-Pro",0.657142857142857,0.382352941176471,0.269230769230769,0,0.5,0.5,0.53125
"ASx lysate",0.708333333333333,0.372093023255814,0.536585365853658,0.5,0,0.692307692307692,0.523809523809524
"Hive Reared",0.653846153846154,0.612903225806452,0.428571428571429,0.5,0.692307692307692,0,0.541666666666667
"Comb",0.722222222222222,0.5,0.580645161290323,0.53125,0.523809523809524,0.541666666666667,0
