Treatment,N_Samples,Mean_Reads,SD_Reads,Mean_Quality
ASx-lysate-treated,9,4936.222222222223,46.539708254827346,20.66160211111111
Microbiome in the comb samples,3,4934,51.44900387762624,19.064062666666665
Terra-Pro-treated,9,4921.222222222223,47.47045865003249,20.78912
Tetracycline-treated,9,4920.666666666667,44.71297350881509,21.60345022222222
Apiary-Marked,3,4896,19.078784028338912,19.200469333333334
Control,8,4889.75,177.7942229496946,20.797311625
For baseline data,3,3551,2374.4011876681666,22.001442333333333
