Date of sample collection,Tube Name,Treatments,SAMPLE Tube ID,Total bee guts extracted,DNA extracted Date,Final Elution volume,DNA concentration (ng/uL) Qubit,Amount to send to Plasmidsarus (in uL),DNA needed,Add water,Total volume needed,...13,Sent for Sequencing on 13 Nov 2025,Sent on 18 Nov,Day,Cage,Treatment,Rep,NewSampleName
2025-10-07T00:00:00Z,Day-11 (Cage-11),ASx-lysate-treated,26,15,2025-10-29T00:00:00Z,40 uL,31.4,xx,4.777070063694268,10.222929936305732,15,NA,NA,SENT,11,11,ASx-lysate-treated,2,Day  11   ASx-lysate-treated Rep  2
2025-10-07T00:00:00Z,Day-11 (Cage-12),ASx-lysate-treated,27,15,2025-10-29T00:00:00Z,40 uL,16,xx,9.375,5.625,15,NA,NA,SENT,11,12,ASx-lysate-treated,3,Day  11   ASx-lysate-treated Rep  3
2025-10-13T00:00:00Z,Day-17 (Cage-1),Control,28,15,2025-10-29T00:00:00Z,40 uL,3.9,15,NA,NA,NA,NA,NA,SENT,17,1,Control,1,Day  17   Control Rep  1
2025-10-13T00:00:00Z,Day-17 (Cage-2),Control,No sample,No sample,NA,No sample,No Sample,No Sample,NA,NA,NA,NA,NA,SENT,17,2,Control,2,Day  17   Control Rep  2
2025-10-13T00:00:00Z,Day-17 (Cage-3),Control,29,15,2025-10-29T00:00:00Z,40 uL,2,15,NA,NA,NA,NA,NA,SENT,17,3,Control,3,Day  17   Control Rep  3
2025-10-13T00:00:00Z,Day-17 (Cage-4),Tetracycline-treated,30,15,2025-10-29T00:00:00Z,40 uL,13.1,xx,11.450381679389313,3.549618320610687,15,NA,NA,SENT,17,4,Tetracycline-treated,1,Day  17   Tetracycline-treated Rep  1
2025-10-13T00:00:00Z,Day-17 (Cage-5),Tetracycline-treated,31,4,2025-10-29T00:00:00Z,40 uL,8.15,15,NA,NA,NA,NA,NA,SENT,17,5,Tetracycline-treated,2,Day  17   Tetracycline-treated Rep  2
2025-10-13T00:00:00Z,Day-17 (Cage-6),Tetracycline-treated,32,15,2025-10-29T00:00:00Z,40 uL,9.99,15,NA,NA,NA,NA,NA,SENT,17,6,Tetracycline-treated,3,Day  17   Tetracycline-treated Rep  3
2025-10-13T00:00:00Z,Day-17 (Cage-7),Terra-Pro-treated,33,10,2025-10-29T00:00:00Z,40 uL,14.7,xx,10.204081632653061,4.795918367346939,15,NA,NA,SENT,17,7,Terra-Pro-treated,1,Day  17   Terra-Pro-treated Rep  1
2025-10-13T00:00:00Z,Day-17 (Cage-8),Terra-Pro-treated,34,15,2025-10-29T00:00:00Z,40 uL,32.299999999999997,xx,4.643962848297214,10.356037151702786,15,NA,NA,SENT,17,8,Terra-Pro-treated,2,Day  17   Terra-Pro-treated Rep  2
2025-10-13T00:00:00Z,Day-17 (Cage-9),Terra-Pro-treated,35,4,2025-10-29T00:00:00Z,40 uL,8.67,15,NA,NA,NA,NA,NA,SENT,17,9,Terra-Pro-treated,3,Day  17   Terra-Pro-treated Rep  3
2025-10-13T00:00:00Z,Day-17 (Cage-10),ASx-lysate-treated,36,3,2025-10-29T00:00:00Z,40 uL,20.5,xx,7.317073170731708,7.682926829268292,15,NA,NA,SENT,17,10,ASx-lysate-treated,1,Day  17   ASx-lysate-treated Rep  1
2025-10-13T00:00:00Z,Day-17 (Cage-11),ASx-lysate-treated,37,1,2025-10-30T00:00:00Z,40 uL,5.41,15,NA,NA,NA,NA,NA,SENT,17,11,ASx-lysate-treated,2,Day  17   ASx-lysate-treated Rep  2
2025-10-13T00:00:00Z,Day-17 (Cage-12),ASx-lysate-treated,38,15,2025-10-30T00:00:00Z,40 uL,56.4,xx,2.6595744680851063,12.340425531914894,15,NA,NA,SENT,17,12,ASx-lysate-treated,3,Day  17   ASx-lysate-treated Rep  3
2025-10-11T00:00:00Z,Day-0_Marked bees left at Apiary (Rep-1),For baseline data,39,6,2025-10-30T00:00:00Z,40 uL,13.3,xx,11.278195488721805,3.7218045112781954,15,NA,NA,SENT,15,1,Apiary-Marked,1,Day  15   Apiary-Marked Rep  1
2025-10-11T00:00:00Z,Day-0_Marked bees left at Apiary (Rep-2),For baseline data,40,6,2025-10-30T00:00:00Z,40 uL,19.3,xx,7.772020725388601,7.227979274611399,15,NA,NA,SENT,15,2,Apiary-Marked,2,Day  15   Apiary-Marked Rep  2
2025-10-11T00:00:00Z,Day-0_Marked bees left at Apiary (Rep-3),For baseline data,41,6,2025-10-30T00:00:00Z,40 uL,20.6,xx,7.281553398058252,7.718446601941748,15,NA,NA,SENT,15,3,Apiary-Marked,3,Day  15   Apiary-Marked Rep  3
2025-10-13T00:00:00Z,Comb samples used in the cages (Rep-1),Microbiome in the comb samples,42,Pull from all cages,2025-10-30T00:00:00Z,40 uL,7.01,15,NA,NA,NA,NA,NA,SENT,NA,1,Microbiome in the comb samples,1,Day  NA   Microbiome in the comb samples Rep  1
2025-10-13T00:00:00Z,Comb samples used in the cages (Rep-2),Microbiome in the comb samples,43,Pull from all cages,2025-10-30T00:00:00Z,40 uL,6.89,15,NA,NA,NA,NA,NA,SENT,NA,2,Microbiome in the comb samples,2,Day  NA   Microbiome in the comb samples Rep  2
2025-10-13T00:00:00Z,Comb samples used in the cages (Rep-3),Microbiome in the comb samples,44,Pull from all cages,2025-10-30T00:00:00Z,40 uL,15.5,xx,9.67741935483871,5.32258064516129,15,NA,NA,SENT,NA,3,Microbiome in the comb samples,3,Day  NA   Microbiome in the comb samples Rep  3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Day  NA   NA Rep  1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Day  NA   NA Rep  2
2025-10-11T00:00:00Z,Bees collected (Apiary Bees),for practice for DNA extraction,Test,15,2025-10-20T00:00:00Z,55 uL,4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,for practice for DNA extraction,1,Day  NA   for practice for DNA extraction Rep  1
2025-10-11T00:00:00Z,Bees collected (Apiary Bees),for practice for DNA extraction,Test,15,2025-10-20T00:00:00Z,55 uL,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,for practice for DNA extraction,2,Day  NA   for practice for DNA extraction Rep  2
2025-10-11T00:00:00Z,Bees collected (Apiary Bees),for practice for DNA extraction,Test,15,2025-10-20T00:00:00Z,55 uL,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,for practice for DNA extraction,3,Day  NA   for practice for DNA extraction Rep  3
