read_id	most_likely_taxon	confidence	assignment_certainty	taxon_name	kingdom
38b2c5b4-202b-4cc9-8c06-af1aacece8b1	1218494	0.9994320161797372	high	Lactobacillus helsingborgensis	Bacteria
5dd10cb4-8257-40d8-840f-e52d2b2038d1	303541	0.8779609213970925	high	Lactobacillus apis	Bacteria
1da1841f-baa2-41f0-bf28-775be41f9830	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
adc9737e-ea2d-455a-a4c0-f86ac136bd49	1218494	0.9709963409496634	high	Lactobacillus helsingborgensis	Bacteria
2a290bd0-c405-4ca0-ad03-3083e90b0ad1	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
0394e36c-748a-4faf-9ffd-ea53ff3b4359	1218494	0.9999864465076456	high	Lactobacillus helsingborgensis	Bacteria
439ec6fc-99e9-459d-be5b-520979c7a9f7	1218493	0.9993953843303556	high	Lactobacillus kullabergensis	Bacteria
0451f70d-b73f-4183-9b70-a7717a741a2e	1218494	0.9994320161797372	high	Lactobacillus helsingborgensis	Bacteria
9b42247d-f639-4d24-937a-c955786e5df0	303541	0.9843460615147758	high	Lactobacillus apis	Bacteria
245e752f-0e7d-4969-bdfb-360a274e88d3	1218493	0.9826594516151056	high	Lactobacillus kullabergensis	Bacteria
e2c092af-7fa2-489e-9ac1-a517a27773cb	1218494	0.999979520999555	high	Lactobacillus helsingborgensis	Bacteria
47642178-8d95-40f4-8275-53c5e9f9d40a	1218494	0.9998123222279351	high	Lactobacillus helsingborgensis	Bacteria
8d50d59a-9209-46b8-aef5-4feacc96f9b9	1218493	0.9993598299799968	high	Lactobacillus kullabergensis	Bacteria
e591349e-6ab5-4e55-bb6a-9bd738bae42e	1218493	0.9941670774090752	high	Lactobacillus kullabergensis	Bacteria
88daed22-2413-476b-a352-6be02a980308	1218494	0.9999380018007404	high	Lactobacillus helsingborgensis	Bacteria
e7897120-7431-4375-84e4-c174df2f3a54	1218494	0.9999380018007404	high	Lactobacillus helsingborgensis	Bacteria
c4e8c3be-b002-4362-8efc-7db2fe2c6458	1218494	0.999979520999555	high	Lactobacillus helsingborgensis	Bacteria
e77bac18-1040-4ca5-bcf3-90c5b1299627	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
644ea080-505d-46bd-b491-d2b88969a79a	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
ea8345c8-5b7d-429f-af6e-40a7245a047f	1218493	0.9993708760263318	high	Lactobacillus kullabergensis	Bacteria
b2064434-dc07-4cbc-b91d-2af00eadf8d3	1218494	0.9999999194851752	high	Lactobacillus helsingborgensis	Bacteria
db53abfe-cc56-4bb7-99d9-8c7732108d11	1218494	0.9994320161797372	high	Lactobacillus helsingborgensis	Bacteria
0969922d-2e3a-4e0b-b1b2-fc7cfe6894ea	1218494	0.9994320161797372	high	Lactobacillus helsingborgensis	Bacteria
d31e928c-7032-4ff2-8ba9-a904a1c223c8	1218494	0.817031036953243	high	Lactobacillus helsingborgensis	Bacteria
cf912719-2679-4f68-bb78-b507733aafab	1218494	0.9994570090243944	high	Lactobacillus helsingborgensis	Bacteria
503ed23f-cb60-4699-ad95-17e52bf26d88	1218494	0.999979520999555	high	Lactobacillus helsingborgensis	Bacteria
06874ca7-e7eb-4f22-a23f-2c4a62be2db0	1218494	0.999979520999555	high	Lactobacillus helsingborgensis	Bacteria
27e62219-7981-4205-871f-dff83145dd30	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
56e5bb0c-88df-4ff9-8682-4250b1518111	1218494	1.0	confident	Lactobacillus helsingborgensis	Bacteria
728f0557-c44c-4bff-a329-039310640e44	1218494	0.9999597536633644	high	Lactobacillus helsingborgensis	Bacteria
